File	/Users/minjaesong/Downloads/MONOTONE-master/NO_ROADS.MON
Length	34 patterns
voices	4
Order list:
02 00 01 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1E 1E 1F 

Order 02
rw | nnn edd | nnn edd | nnn edd | nnn edd
01 | ... 000 | ... 210 | ... 000 | ... 000
02 | ... 000 | ... 210 | ... 000 | ... 000
03 | ... 000 | === 000 | ... 000 | ... 000
04 | C-3 000 | C-2 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | C-3 000 | C-2 000 | ... 000 | ... 000
07 | === 000 | === 000 | ... 000 | ... 000
08 | C-3 000 | C-2 000 | ... 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | === 000 | === 000 | ... 000 | ... 000
0C | C-2 000 | C-1 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | === 000 | C-4 210 | ... 000 | ... 000
11 | ... 000 | ... 210 | ... 000 | ... 000
12 | ... 000 | ... 210 | ... 000 | ... 000
13 | === 000 | ... 210 | ... 000 | ... 000
14 | A#3 000 | D#4 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | ... 000 | ... 000
18 | A#3 000 | D#4 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | ... 000 | ... 000
1C | A#3 000 | D#4 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | === 000 | === 000 | ... 000 | ... 000
20 | ... 000 | C-3 210 | ... 000 | ... 000
21 | ... 000 | ... 210 | ... 000 | ... 000
22 | ... 000 | ... 210 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | G-4 000 | G-3 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | A#4 000 | A#3 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | C-5 000 | C-4 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | D-5 000 | D-4 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | D#5 000 | D#4 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | F-5 000 | F-4 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | G-5 000 | G-4 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 11
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | F-2 F04 | F-2 204 | ... 000 | ... 000
01 | ... 000 | ... 204 | ... 000 | ... 000
02 | ... 000 | ... 204 | ... 000 | ... 000
03 | ... 000 | ... 204 | ... 000 | ... 000
04 | F-3 000 | C-4 000 | F-4 000 | G-5 000
05 | === 000 | ... 000 | ... 000 | ... 000
06 | F-3 000 | ... 000 | ... 000 | ... 000
07 | === 000 | === 000 | === 000 | === 000
08 | C-3 204 | C-4 000 | F-4 000 | A-5 000
09 | ... 204 | ... 000 | ... 000 | ... 000
0A | ... 204 | ... 000 | ... 000 | ... 000
0B | === 000 | ... 000 | ... 000 | ... 000
0C | F-3 000 | === 000 | === 000 | === 000
0D | === 000 | ... 000 | ... 000 | ... 000
0E | F-3 000 | A-3 000 | F-4 000 | C-5 000
0F | === 000 | ... 000 | ... 000 | ... 000
10 | C-2 208 | === 000 | === 000 | === 000
11 | ... 208 | ... 000 | ... 000 | ... 000
12 | C-2 208 | ... 000 | ... 000 | ... 000
13 | ... 208 | === 000 | === 000 | === 000
14 | F-3 000 | C-4 000 | G-4 000 | A-4 000
15 | F-3 000 | ... 000 | ... 000 | ... 000
16 | F-3 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | === 000 | === 000
18 | F-3 000 | G-4 000 | B-4 000 | C-5 000
19 | F-3 000 | ... 000 | ... 000 | ... 000
1A | F-3 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | === 000 | === 000
1C | F-3 000 | C-4 000 | A-4 000 | F-5 000
1D | === 000 | ... 000 | ... 000 | ... 000
1E | F-3 000 | ... 000 | ... 000 | ... 000
1F | === 000 | === 000 | === 000 | === 000
20 | D#3 000 | G-4 000 | A#4 000 | F-5 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | D#2 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | D#2 000 | ... 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | D#3 000 | F-4 000 | A#4 000 | G-5 000
27 | D#3 000 | ... 000 | ... 000 | ... 000
28 | D#2 000 | ... 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | D#2 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | D#3 000 | ... 000 | ... 000 | ... 000
2D | ... 000 | === 000 | === 000 | === 000
2E | D#2 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | A-5 000 | D#3 000 | D#2 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | A#4 000 | D#2 000 | D#1 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | A#4 000 | D#2 000 | D#1 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | G-5 000 | D#3 000 | D#2 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | A#4 000 | D#2 000 | D#1 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | A#4 000 | D#2 000 | D#1 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | A-5 000 | D#3 000 | D#2 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | A#4 000 | D#2 000 | D#1 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 12
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | G-2 F04 | C-1 204 | ... 000 | ... 000
01 | ... 000 | ... 204 | ... 000 | ... 000
02 | ... 000 | ... 204 | ... 000 | ... 000
03 | ... 000 | ... 204 | ... 000 | ... 000
04 | G-2 000 | A#4 000 | D-5 000 | A-5 000
05 | === 000 | ... 000 | ... 000 | ... 000
06 | G-2 000 | ... 000 | ... 000 | ... 000
07 | === 000 | === 000 | === 000 | === 000
08 | C-3 204 | C-5 000 | F-5 000 | A#5 000
09 | ... 204 | ... 000 | ... 000 | ... 000
0A | ... 204 | ... 000 | ... 000 | ... 000
0B | === 000 | ... 000 | ... 000 | ... 000
0C | G-1 000 | === 000 | === 000 | === 000
0D | === 000 | ... 000 | ... 000 | ... 000
0E | G-1 000 | D-5 000 | A#5 000 | F-6 000
0F | === 000 | ... 000 | ... 000 | ... 000
10 | G-2 000 | G-1 000 | === 000 | === 000
11 | === 000 | ... 000 | ... 000 | ... 000
12 | G-2 000 | G-1 000 | ... 000 | ... 000
13 | === 000 | ... 000 | === 000 | === 000
14 | G-2 000 | D-5 000 | F-5 000 | E-6 000
15 | G-2 000 | ... 000 | ... 000 | ... 000
16 | G-2 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | === 000 | === 000
18 | G-1 000 | D-5 000 | F-5 000 | C-6 000
19 | G-1 000 | ... 000 | ... 000 | ... 000
1A | G-1 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | === 000 | === 000
1C | G-2 000 | F-5 000 | A#5 000 | D-6 000
1D | === 000 | ... 000 | ... 000 | ... 000
1E | G-2 000 | ... 000 | ... 000 | ... 000
1F | === 000 | === 000 | === 000 | === 000
20 | C-2 000 | E-5 000 | G-5 000 | D-6 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | C-2 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | C-2 000 | ... 000 | ... 000 | ... 000
25 | ... 000 | === 000 | === 000 | === 000
26 | C-2 000 | E-5 000 | G-5 000 | E-6 000
27 | C-2 000 | ... 000 | ... 000 | ... 000
28 | C-2 000 | ... 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | C-2 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | C-2 000 | ... 000 | ... 000 | ... 000
2D | ... 000 | === 000 | === 000 | === 000
2E | C-2 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | G-4 000 | E-4 000 | C-2 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | G-3 000 | E-3 000 | C-1 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | G-3 000 | E-3 000 | C-1 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | G-4 000 | E-4 000 | C-2 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | G-3 000 | E-3 000 | C-1 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | G-3 000 | E-3 000 | C-1 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | A-4 000 | F-4 000 | D-2 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | A-3 000 | F-3 000 | D-1 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 13
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | G-3 000 | D-4 000 | F-4 000 | A#4 F08
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | ... 000 | ... 000 | ... 000
03 | ... 000 | ... 000 | ... 000 | ... 000
04 | A#3 000 | C-4 000 | F-4 000 | A-4 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | ... 000 | ... 000 | ... 000 | ... 000
08 | C-4 000 | D-4 000 | E-4 000 | G-4 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | C-3 000 | C-2 000 | C-3 000 | C-2 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | ... 000 | ... 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | ... 000 | ... 000
12 | ... 000 | ... 000 | ... 000 | ... 000
13 | ... 000 | ... 000 | ... 000 | ... 000
14 | === 000 | G-4 000 | E-5 000 | C-6 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | ... 000 | ... 000 | ... 000 | ... 000
18 | D#3 000 | G-4 000 | D#5 000 | A#5 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | F-3 000 | F-4 000 | C-5 000 | A-5 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | ... 000 | ... 000 | ... 000 | ... 000
20 | G-3 000 | C-4 000 | D-4 000 | G-5 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | G-2 000 | G-4 000 | G-2 000 | G-3 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | ... 000 | ... 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | G-4 000 | A#4 000 | D-5 000 | F-5 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... D00
30 | ... 000 | ... 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | ... 000 | ... 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | ... 000 | ... 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | ... 000 | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 14
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | === 000 | A#4 000 | D#5 000 | G-5 000
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | ... 000 | ... 000 | ... 000
03 | ... 000 | ... 000 | ... 000 | ... 000
04 | D#2 000 | ... 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | ... 000 | ... 000 | ... 000 | ... 000
08 | ... 000 | C-5 000 | F-5 000 | A-5 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | A#4 000 | F-5 000 | G-5 000
0C | ... 000 | ... 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | A-4 000 | C-5 000 | F-5 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | D-3 000 | F-4 000 | C-5 000 | G-5 000
11 | ... 000 | ... 000 | ... 000 | ... 000
12 | ... 000 | ... 000 | ... 000 | ... 000
13 | ... 000 | ... 000 | ... 000 | ... 000
14 | ... 000 | ... 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | ... 000 | ... 000 | ... 000 | ... 000
18 | ... 000 | ... 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | D-3 000 | G-3 000 | G-4 000 | ... 000
1D | ... 000 | G-3 000 | G-4 000 | ... 000
1E | ... 000 | C-4 000 | C-5 000 | ... 000
1F | ... 000 | C-4 000 | C-5 000 | ... 000
20 | ... 000 | F-4 000 | F-5 000 | ... 000
21 | ... 000 | F-4 000 | F-5 000 | ... 000
22 | ... 000 | D-4 000 | D-5 000 | ... 000
23 | ... 000 | D-4 000 | D-5 000 | ... 000
24 | ... 000 | G-4 000 | G-5 000 | ... 000
25 | ... 000 | G-4 000 | G-5 000 | ... 000
26 | ... 000 | C-5 000 | C-6 000 | ... 000
27 | ... 000 | C-5 000 | C-6 000 | ... 000
28 | ... 000 | F-5 000 | F-6 000 | ... 000
29 | ... 000 | F-5 000 | F-6 000 | ... 000
2A | ... 000 | D-5 000 | D-6 000 | ... 000
2B | ... 000 | D-5 000 | D-6 000 | ... 000
2C | ... 000 | G-5 000 | G-6 000 | ... 000
2D | ... 000 | G-5 000 | G-6 000 | ... 000
2E | ... 000 | C-6 000 | C-7 000 | ... 000
2F | ... 000 | C-6 000 | C-7 000 | ... D00
30 | ... 000 | ... 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | ... 000 | ... 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | ... 000 | ... 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | ... 000 | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 15
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | G-1 F04 | C-1 000 | === 000 | === 000
01 | ... 000 | === 000 | ... 000 | ... 000
02 | G-2 000 | ... 000 | ... 000 | ... 000
03 | === 000 | ... 000 | ... 000 | ... 000
04 | D-6 000 | G-5 000 | ... 000 | ... 000
05 | ... 000 | === 000 | ... 000 | ... 000
06 | A#3 000 | F-4 000 | ... 000 | ... 000
07 | ... 000 | ... 000 | ... 000 | ... 000
08 | D-6 000 | === 000 | ... 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | A#1 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | F-6 000 | ... 000 | ... 000 | ... 000
0D | === 000 | ... 000 | ... 000 | ... 000
0E | E-6 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | C-2 000 | C-1 000 | ... 000 | ... 000
11 | ... 000 | === 000 | ... 000 | ... 000
12 | C-6 000 | ... 000 | ... 000 | ... 000
13 | D-6 000 | ... 000 | ... 000 | ... 000
14 | C-3 000 | ... 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | G-5 000 | ... 000 | ... 000 | ... 000
17 | ... 000 | ... 000 | ... 000 | ... 000
18 | G-3 000 | E-4 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | F-4 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | A#1 000 | === 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | C-2 000 | ... 000 | ... 000 | ... 000
1F | ... 000 | ... 000 | ... 000 | ... 000
20 | F-1 000 | ... 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | G-1 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | A#5 000 | ... 000 | ... 000 | ... 000
25 | C-6 000 | ... 000 | ... 000 | ... 000
26 | G-2 000 | === 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | A-5 000 | ... 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | A#1 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | F-5 000 | ... 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | G-5 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | C-4 000 | ... 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | A#2 000 | A#1 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | C-3 000 | C-2 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | A#3 000 | A#2 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | F-3 000 | F-2 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | G-3 000 | G-2 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | E-3 000 | E-2 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | F-3 000 | F-2 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 16
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | G-1 000 | === 000 | === 000 | === 000
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | D-5 000 | ... 000 | ... 000 | ... 000
03 | ... 000 | ... 000 | ... 000 | ... 000
04 | A#5 000 | ... 000 | ... 000 | ... 000
05 | C-6 000 | ... 000 | ... 000 | ... 000
06 | D-4 000 | F-4 000 | C-5 000 | ... 000
07 | ... 000 | ... 000 | ... 000 | ... 000
08 | C-6 000 | === 000 | === 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | D-6 000 | ... 000 | ... 000 | ... 000
0B | === 000 | ... 000 | ... 000 | ... 000
0C | A-6 000 | ... 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | G-6 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | C-3 000 | ... 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | ... 000 | ... 000
12 | D-6 000 | ... 000 | ... 000 | ... 000
13 | E-6 000 | ... 000 | ... 000 | ... 000
14 | E-4 000 | F-5 000 | A#5 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | D-6 000 | === 000 | === 000 | ... 000
17 | ... 000 | ... 000 | ... 000 | ... 000
18 | E-2 000 | ... 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | C-6 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | E-4 000 | ... 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | F-4 000 | ... 000 | ... 000 | ... 000
1F | ... 000 | ... 000 | ... 000 | ... 000
20 | G-2 000 | ... 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | A#5 000 | ... 000 | ... 000 | ... 000
23 | === 000 | ... 000 | ... 000 | ... 000
24 | G-5 000 | ... 000 | ... 000 | ... 000
25 | A-5 000 | ... 000 | ... 000 | ... 000
26 | D-4 000 | F-4 000 | C-5 000 | ... 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | A-5 000 | === 000 | === 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | A#5 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | F-5 000 | ... 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | G-5 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | C-3 000 | C-2 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | D-3 000 | D-2 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | A#3 000 | A#2 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | A-3 000 | A-2 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | F-3 000 | F-2 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | A#2 000 | A#1 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | C-3 000 | C-2 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | D-3 000 | D-2 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 17
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | G-1 F04 | === 000 | === 000 | === 000
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | C-5 000 | ... 000 | ... 000 | ... 000
03 | D-5 000 | ... 000 | ... 000 | ... 000
04 | A#5 000 | ... 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | G-2 000 | ... 000 | ... 000 | ... 000
07 | ... 000 | ... 000 | ... 000 | ... 000
08 | F-5 000 | F-4 000 | C-5 000 | ... 000
09 | G-5 000 | === 000 | === 000 | ... 000
0A | D-6 000 | === 000 | ... 000 | ... 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | G-2 000 | ... 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | F-6 000 | ... 000 | ... 000 | ... 000
0F | G-6 000 | ... 000 | ... 000 | ... 000
10 | F-6 000 | ... 000 | ... 000 | ... 000
11 | E-6 000 | ... 000 | ... 000 | ... 000
12 | C-6 000 | ... 000 | ... 000 | ... 000
13 | G-5 000 | ... 000 | ... 000 | ... 000
14 | C-3 000 | ... 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | C-2 000 | ... 000 | ... 000 | ... 000
17 | ... 000 | ... 000 | ... 000 | ... 000
18 | D-6 000 | G-4 000 | E-4 000 | ... 000
19 | C-6 000 | === 000 | === 000 | ... 000
1A | G-5 000 | ... 000 | ... 000 | ... 000
1B | E-5 000 | ... 000 | ... 000 | ... 000
1C | D-5 000 | ... 000 | ... 000 | ... 000
1D | C-5 000 | ... 000 | ... 000 | ... 000
1E | G-4 000 | ... 000 | ... 000 | ... 000
1F | E-4 000 | ... 000 | ... 000 | ... 000
20 | G-2 000 | ... 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | D-4 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | C-5 000 | ... 000 | ... 000 | ... 000
25 | D-5 000 | ... 000 | ... 000 | ... 000
26 | A#4 000 | ... 000 | ... 000 | ... 000
27 | === 000 | ... 000 | ... 000 | ... 000
28 | C-4 000 | C-5 000 | F-5 000 | ... 000
29 | ... 000 | === 000 | === 000 | ... 000
2A | D-4 000 | ... 000 | ... 000 | ... 000
2B | === 000 | ... 000 | ... 000 | ... 000
2C | G-4 000 | ... 000 | ... 000 | ... 000
2D | A-4 000 | ... 000 | ... 000 | ... 000
2E | G-4 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | ... 473 | ... 000 | ... 000 | ... 000
31 | ... 473 | ... 000 | ... 000 | ... 000
32 | G-4 000 | C-5 000 | E-5 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | C-2 000 | === 000 | === 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | G-4 000 | C-5 000 | E-5 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | C-3 000 | === 000 | === 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | G-4 000 | D-5 000 | F-5 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | F-2 000 | === 000 | === 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | G-2 000 | ... 000 | ... 000 | ... 000
